name,prompt,negative_prompt
"Osmanlı Sarayı","osmanlı sarayı, altın süslemeler, türk mimarisi, tarihsel dekor, baroque architecture, altın varaklar, el yapımı halılar, masterpiece, ultra detailed","modern, simple, minimal, western style"
"İstanbul Boğazı","istanbul boğazı panorama, köprü manzarası, gün batımı, epic vista, cinematic lighting, türkiye manzarası, şehir silueti, deniz kenarı","ugly, blurry, low quality"
"Kapadokya Balonları","kapadokya sıcak hava balonları, gün doğumu, renkli gökyüzü, peri bacaları, doğal oluşum, türkiye turizm, epic landscape","bad weather, night, dark"
"Türk Kahvesi Sahnesi","türk kahvesi, geleneksel fincan, çini desenler, still life, osmanlı tarzı, bakır ibrik, lokum, eastern culture","plastic cups, modern cafe"
"Geleneksel Türk Kadını","güzel türk kadın, geleneksel kıyafet, bindallı, başörtüsü, altın takılar, portre fotoğrafçılığı, 4K ultra detailed","western clothing, modern dress"
"Yakışıklı Türk Erkeği","yakışıklı türk erkek, ottoman style, geleneksel erkek kıyafeti, kavuk, profesyonel portre, türk özellikler","western suit, modern style"
"Türk Yemek Kültürü","türk yemekleri, kebab, baklava, türk mutfağı, geleneksel yemek masası, renkli yiyecekler, food photography","fast food, western cuisine"
"Whirling Dervishes","semazen, whirling dervishes, sufi dance, beyaz elbise, spiritüel dans, türk kültürü, mistik hareket","static pose, colorful clothing"
"Turkish Carpet","türk halısı, el dokuma, geometric patterns, traditional carpet, oriental rug, detailed texture, kırmızı mavi desenler","machine made, modern carpet"
"Bosphorus Sunset","boğaz gün batımı, istanbul skyline, golden hour, reflection on water, city lights, romantic atmosphere","sunrise, cloudy weather"
"Turkish Tea Garden","türk çay bahçesi, çay bardakları, simit, outdoor cafe, istanbul street life, social gathering","indoor, coffee shop"
"Galata Tower","galata kulesi, istanbul landmark, historical tower, city view, architectural photography, sunset lighting","modern building, daytime"
"Turkish Bazaar","kapalıçarşı, grand bazaar, colorful spices, turkish market, traditional shopping, oriental atmosphere","empty market, western store"
"Pamukkale Travertines","pamukkale, white travertines, thermal pools, natural wonder, türkiye landmarks, clear blue water","artificial pools, indoor spa"
"Turkish Breakfast","türk kahvaltısı, çay, peynir, zeytin, simit, traditional breakfast, morning meal, authentic food","western breakfast, cereal"
